,Bank Name,Merchant Name,Link to offer on Bank site (for reference),Category,Offer title (if available),Start date,End date,Detailed offer text (if available),Logo link,Offer image,Redeem link,Promo code (if available),Online/ Offline,"If offline, cities"
36,,Stayvista,Stayvista,Travel,,,15th September 2024,Get 15% off upto Rs. 5000 bookings with Vista Rooms,,,https://www.visa.co.in/en_in/visa-offers-and-perks/vista-rooms/148737,,Online ,
37,,Beyoung,Beyoung,Apparel ,,,15th September 2024,Flat Rs. 300 Off on a minimum shopping of Rs.1599 at Beyoung Online.,,,https://www.visa.co.in/en_in/visa-offers-and-perks/beyoung/148517,,Online ,
38,,Mommypure,Mommypure,Kids,,,15th September 2024,Flat 25% Sitewide Discount,,,https://www.visa.co.in/en_in/visa-offers-and-perks/mommypure/148615,,Online ,
39,,Leaf Studios,Leaf Studios,Lifestyle ,,,15th September 2024,Flat 30% off on Leaf Headphones and Earphones,,,https://www.visa.co.in/en_in/visa-offers-and-perks/leaf-studios/156308,,Online ,
40,,Edureka,Edureka,Education & Upskilling ,,,15th September 2024,Get upto 35% off on certification courses,,,https://www.visa.co.in/en_in/visa-offers-and-perks/edureka/147772,,Online,
41,,Giva ,Giva ,Accessories,,,15th September 2024,Offer 1:Flat Rs. 200 OFF on a minimum purchase of Rs. 799 Offer 2:Flat Rs. 500 OFF on a minimum purchase of Rs. 1499,,,https://www.visa.co.in/en_in/visa-offers-and-perks/giva-jewellery/150623,,Online ,
42,,Zouk,Zouk,Accessories,,,15th September 2024,"Offer 1: Buy any Two Zouk Bags and get Flat Rs 400 off 
Offer 2: Flat Rs 400 off on Zouk Footwears
Offer 3: Flat Rs 300 off on Zouk Office Bags & Laptop Bags",,,https://www.visa.co.in/en_in/visa-offers-and-perks/zouk/150625,,Online ,
43,,Medibuddy,Medibuddy,Health & Wellness,,,15th September 2024,"Offer1: Flat Rs.1000 off on unlimited doctor consultations from MediBuddy Gold across 22+ specialties for your entire family
Unlimited online audio and video consultation with top specialist Doctors across 22+ specialties
Free for a full family, 24*7
Valid for 12 months from the activation date
MRP: Rs.2499
Offer2: Online expert doctor consultation at just Rs.21 (across 18+ specialties)
Consultation with Doctors across 18+ specialties
Offer details: Get free doctor consultation
MRP: Rs.199 to Rs.599
Offer3: Basic Full Body Health Checkup worth Rs.1299 at just Rs.349 (60+ Tests)
Full Body Health Checkup at Rs.349. (60+Tests)
MRP: Rs.1299",,,https://www.visa.co.in/en_in/visa-offers-and-perks/medibuddy/150633,,Online ,
44,,Skullcandy,Skullcandy,Lifestyle ,,,31st March 2024,FLAT 70 % off ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/skullcandy/148611,,Online ,
45,,Indus Health Plus ,Indus Health Plus ,Health & Wellness,,,15th September 2024, 50% off on health checkups,,,https://www.visa.co.in/en_in/visa-offers-and-perks/indus-health-plus/149031,,Online ,
46,,Khadi Naturals ,Khadi Naturals ,Health & Wellness,,,15th September 2024,Flat  35% off ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/khadi-natural/148570,,Online,
47,,Atulya Herbals ,Atulya Herbals ,Health & Wellness,,,15th September 2024,Flat  35% off ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/atulya-herbals/148574,,Online,
48,,TangyOak,TangyOak,Home,,,15th September 2024,Flat 30% off on a minimum purchase of Rs. 1999,,,https://www.visa.co.in/en_in/visa-offers-and-perks/tangy-oak/148515,,Online,
49,,Desi Toys ,Desi Toys ,Kids,,,15th September 2024,Flat 15% Off Sitewide,,,https://www.visa.co.in/en_in/visa-offers-and-perks/desi-toys/148583,,Online,
50,,R for Rabbit ,R for Rabbit ,Kids,,,15th September 2024,Flat 7% OFF ,,,https://www.visa.co.in/en_in/visa-offers-and-perks/r-for-rabbit/148506,,Online,
